Wavelength; ‡Ì‡Î ¿—¬Œƒ 0; ‡Ì‡Î ¿—¬Œƒ 1; ‡Ì‡Î ¿—¬Œƒ 2
1502.618652;-46.726000;-49.654000;-46.916000
1502.626221;-46.718000;-49.666000;-46.940000
1502.633667;-46.688000;-49.706000;-46.958000
1502.641235;-46.682000;-49.734000;-46.928000
1502.648682;-46.662000;-49.788000;-46.928000
1502.656372;-46.596000;-49.818000;-46.926000
1502.663940;-46.552000;-49.876000;-46.940000
1502.671631;-46.548000;-49.884000;-46.944000
1502.679199;-46.590000;-49.910000;-46.956000
1502.686890;-46.652000;-49.914000;-46.938000
1502.694580;-46.710000;-49.918000;-46.942000
1502.702148;-46.732000;-49.892000;-46.930000
1502.709839;-46.724000;-49.862000;-46.904000
1502.717407;-46.730000;-49.824000;-46.842000
1502.725098;-46.694000;-49.754000;-46.866000
1502.732666;-46.704000;-49.706000;-46.880000
1502.740356;-46.686000;-49.670000;-46.928000
1502.748047;-46.714000;-49.640000;-46.956000
1502.755615;-46.658000;-49.610000;-47.028000
1502.763306;-46.604000;-49.574000;-47.038000
1502.770874;-46.552000;-49.554000;-47.002000
1502.778564;-46.538000;-49.560000;-46.956000
1502.786133;-46.502000;-49.578000;-46.924000
1502.793823;-46.480000;-49.586000;-46.908000
1502.801514;-46.468000;-49.626000;-46.878000
1502.809082;-46.428000;-49.668000;-46.898000
1502.816772;-46.418000;-49.696000;-46.876000
1502.824341;-46.410000;-49.732000;-46.888000
1502.832031;-46.418000;-49.780000;-46.872000
1502.839600;-46.452000;-49.814000;-46.838000
1502.847290;-46.510000;-49.836000;-46.794000
1502.854858;-46.564000;-49.846000;-46.778000
1502.862549;-46.592000;-49.822000;-46.744000
1502.870239;-46.624000;-49.814000;-46.750000
1502.877808;-46.662000;-49.774000;-46.772000
1502.885498;-46.682000;-49.774000;-46.818000
1502.893066;-46.678000;-49.752000;-46.874000
1502.900757;-46.662000;-49.792000;-46.902000
1502.908325;-46.634000;-49.818000;-46.918000
1502.916016;-46.590000;-49.878000;-46.930000
1502.923706;-46.574000;-49.910000;-46.898000
1502.931274;-46.496000;-49.940000;-46.888000
1502.938965;-46.472000;-49.934000;-46.880000
1502.946533;-46.448000;-49.932000;-46.866000
1502.954224;-46.410000;-49.914000;-46.852000
1502.961792;-46.358000;-49.888000;-46.876000
1502.969482;-46.362000;-49.838000;-46.846000
1502.977173;-46.342000;-49.822000;-46.862000
1502.984741;-46.420000;-49.794000;-46.858000
1502.992432;-46.484000;-49.800000;-46.908000
1503.000000;-46.586000;-49.786000;-46.930000
1503.007690;-46.680000;-49.810000;-46.980000
1503.015259;-46.746000;-49.824000;-47.002000
1503.022949;-46.722000;-49.806000;-47.012000
1503.030518;-46.782000;-49.792000;-46.940000
1503.038208;-46.722000;-49.796000;-46.930000
1503.045776;-46.680000;-49.782000;-46.850000
1503.053345;-46.630000;-49.786000;-46.822000
1503.060913;-46.594000;-49.804000;-46.828000
1503.068604;-46.546000;-49.782000;-46.856000
1503.076172;-46.566000;-49.754000;-46.832000
1503.083740;-46.620000;-49.752000;-46.852000
1503.091309;-46.692000;-49.766000;-46.846000
1503.098999;-46.732000;-49.778000;-46.806000
1503.106567;-46.730000;-49.820000;-46.782000
1503.114136;-46.756000;-49.874000;-46.744000
1503.121826;-46.710000;-49.910000;-46.716000
1503.129395;-46.650000;-49.924000;-46.694000
1503.136963;-46.668000;-49.948000;-46.658000
1503.144531;-46.630000;-49.968000;-46.652000
1503.152222;-46.558000;-49.974000;-46.664000
1503.159790;-46.544000;-49.980000;-46.652000
1503.167358;-46.534000;-49.928000;-46.640000
1503.174927;-46.462000;-49.870000;-46.688000
1503.182617;-46.508000;-49.790000;-46.680000
1503.190186;-46.564000;-49.690000;-46.684000
1503.197754;-46.542000;-49.610000;-46.760000
1503.205322;-46.570000;-49.586000;-46.808000
1503.213013;-46.578000;-49.540000;-46.844000
1503.220581;-46.560000;-49.480000;-46.904000
1503.228149;-46.528000;-49.434000;-46.960000
1503.235718;-46.550000;-49.400000;-46.938000
1503.243408;-46.550000;-49.318000;-46.914000
1503.250977;-46.570000;-49.324000;-46.918000
1503.258545;-46.590000;-49.370000;-46.864000
1503.266113;-46.594000;-49.418000;-46.824000
1503.273804;-46.588000;-49.446000;-46.796000
1503.281372;-46.572000;-49.530000;-46.818000
1503.288940;-46.564000;-49.550000;-46.810000
1503.296631;-46.540000;-49.568000;-46.818000
1503.304199;-46.536000;-49.618000;-46.846000
1503.311768;-46.548000;-49.636000;-46.818000
1503.319336;-46.578000;-49.588000;-46.766000
1503.327026;-46.674000;-49.570000;-46.680000
1503.334595;-46.656000;-49.532000;-46.688000
1503.342163;-46.676000;-49.476000;-46.634000
1503.349731;-46.658000;-49.462000;-46.654000
1503.357422;-46.642000;-49.488000;-46.666000
1503.364990;-46.556000;-49.488000;-46.682000
1503.372559;-46.554000;-49.480000;-46.638000
1503.380127;-46.574000;-49.460000;-46.612000
1503.387817;-46.612000;-49.462000;-46.596000
1503.395386;-46.612000;-49.486000;-46.592000
1503.402954;-46.568000;-49.512000;-46.640000
1503.410645;-46.610000;-49.566000;-46.652000
1503.418213;-46.576000;-49.578000;-46.706000
1503.425781;-46.564000;-49.552000;-46.736000
1503.433350;-46.608000;-49.512000;-46.738000
1503.441040;-46.654000;-49.496000;-46.718000
1503.448608;-46.682000;-49.474000;-46.710000
1503.456177;-46.698000;-49.518000;-46.682000
1503.463867;-46.678000;-49.566000;-46.656000
1503.471436;-46.640000;-49.626000;-46.612000
1503.479004;-46.656000;-49.680000;-46.596000
1503.486694;-46.590000;-49.732000;-46.656000
1503.494263;-46.628000;-49.752000;-46.666000
1503.501831;-46.622000;-49.782000;-46.732000
1503.509521;-46.610000;-49.794000;-46.788000
1503.517090;-46.582000;-49.810000;-46.832000
1503.524658;-46.570000;-49.788000;-46.818000
1503.532227;-46.472000;-49.754000;-46.836000
1503.539917;-46.466000;-49.724000;-46.778000
1503.547485;-46.428000;-49.684000;-46.782000
1503.555054;-46.400000;-49.636000;-46.754000
1503.562744;-46.382000;-49.586000;-46.732000
1503.570313;-46.386000;-49.514000;-46.712000
1503.577881;-46.332000;-49.424000;-46.720000
1503.585571;-46.318000;-49.336000;-46.694000
1503.593140;-46.280000;-49.244000;-46.706000
1503.600708;-46.322000;-49.224000;-46.674000
1503.608398;-46.342000;-49.276000;-46.706000
1503.615967;-46.404000;-49.374000;-46.720000
1503.623535;-46.424000;-49.442000;-46.718000
1503.631104;-46.470000;-49.502000;-46.710000
1503.638794;-46.432000;-49.514000;-46.730000
1503.646362;-46.356000;-49.462000;-46.664000
1503.653931;-46.236000;-49.376000;-46.680000
1503.661621;-46.212000;-49.328000;-46.666000
1503.669189;-46.182000;-49.290000;-46.640000
1503.676758;-46.140000;-49.292000;-46.652000
1503.684448;-46.162000;-49.344000;-46.676000
1503.692017;-46.236000;-49.404000;-46.636000
1503.699585;-46.212000;-49.510000;-46.658000
1503.707275;-46.110000;-49.580000;-46.736000
1503.714844;-46.138000;-49.622000;-46.706000
1503.722412;-46.134000;-49.668000;-46.654000
1503.730103;-46.132000;-49.708000;-46.606000
1503.737671;-46.170000;-49.696000;-46.556000
1503.745239;-46.262000;-49.698000;-46.458000
1503.752808;-46.220000;-49.678000;-46.452000
1503.760498;-46.272000;-49.676000;-46.498000
1503.768066;-46.314000;-49.648000;-46.524000
1503.775635;-46.344000;-49.636000;-46.532000
1503.783325;-46.380000;-49.642000;-46.572000
1503.790894;-46.444000;-49.688000;-46.638000
1503.798584;-46.430000;-49.680000;-46.648000
1503.806152;-46.380000;-49.708000;-46.684000
1503.813721;-46.290000;-49.724000;-46.718000
1503.821411;-46.252000;-49.730000;-46.732000
